keyword_a,keyword_b,weight
"animals","dairying/economics",15
"animals","herbivory",14
"animals","milk production",7
"animals","reproduction",17
"animals","seasons",30
"cattle","cattle diseases/metabolism",5
"cattle","dairying/economics",9
"cattle","herbivory",7
"cattle","milk production",6
"cattle","reproduction",6
"cattle","seasons",11
"cattle diseases/metabolism","dairying/economics",1
"cattle diseases/metabolism","herbivory",1
"cattle diseases/metabolism","lactation",3
"cattle diseases/metabolism","lameness",1
"cattle diseases/metabolism","logistic models",1
"cattle diseases/metabolism","milk",1
"cattle diseases/metabolism","milk production",1
"cattle diseases/metabolism","reproduction",1
"cattle diseases/metabolism","seasons",1
"dairying/economics","herbivory",1
"dairying/economics","lactation",4
"dairying/economics","lameness",2
"dairying/economics","logistic models",1
"dairying/economics","milk",4
"dairying/economics","milk production",2
"dairying/economics","reproduction",2
"dairying/economics","seasons",2
"herbivory","lactation",1
"herbivory","lameness",1
"herbivory","logistic models",1
"herbivory","milk",2
"herbivory","milk production",1
"herbivory","reproduction",2
"herbivory","seasons",3
"lactation","lameness",4
"lactation","milk production",3
"lactation","reproduction",5
"lactation","seasons",4
"lameness","logistic models",1
"lameness","milk",2
"lameness","milk production",1
"lameness","reproduction",1
"lameness","seasons",1
"logistic models","milk production",2
"logistic models","reproduction",1
"logistic models","seasons",1
"milk","milk production",4
"milk","reproduction",4
"milk","seasons",1
"milk production","reproduction",1
"milk production","seasons",1
"reproduction","seasons",1
"animal feed","biofuels",1
"animal feed","biomass",1
"animal feed","reproduction/physiology",2
"animal feed","temperature",1
"animals","biofuels",2
"animals","biomass",3
"animals","reproduction/physiology",10
"animals","temperature",36
"biofuels","biomass",2
"biofuels","reproduction/physiology",1
"biofuels","temperature",1
"biomass","reproduction/physiology",1
"biomass","temperature",2
"reproduction/physiology","temperature",1
"animals","mice",6
"animals","sheep",58
"mice","sheep",1
"food quality","food safety",1
"food quality","meat",2
"food safety","meat",1
"digital livestock transformation","precision dairy farming",1
"animal husbandry/economics","animal welfare/standards",1
"animal husbandry/economics","animals",8
"animal husbandry/economics","farmers",1
"animal husbandry/economics","farms/economics",2
"animal husbandry/economics","livestock",3
"animal husbandry/economics","livestock production",1
"animal husbandry/economics","technology",1
"animal welfare/standards","animals",6
"animal welfare/standards","farmers",1
"animal welfare/standards","farms/economics",1
"animal welfare/standards","livestock",2
"animal welfare/standards","livestock production",1
"animal welfare/standards","technology",1
"animals","farmers",17
"animals","farms/economics",5
"animals","livestock",77
"animals","livestock production",3
"animals","technology",14
"farmers","farms/economics",1
"farmers","livestock",8
"farmers","livestock production",1
"farmers","technology",4
"farms/economics","livestock",1
"farms/economics","livestock production",1
"farms/economics","technology",3
"livestock","livestock production",2
"livestock","technology",7
"livestock production","technology",1
"animal distribution","animals",7
"animal distribution","cattle",2
"animal distribution","conservation of natural resources",1
"animal distribution","grassland",1
"animal distribution","herbivory",2
"animal distribution","mexico",2
"animal distribution","population dynamics",2
"animals","conservation of natural resources",28
"animals","grassland",14
"animals","mexico",5
"animals","population dynamics",11
"cattle","conservation of natural resources",2
"cattle","grassland",4
"cattle","mexico",2
"cattle","population dynamics",3
"conservation of natural resources","grassland",6
"conservation of natural resources","herbivory",1
"conservation of natural resources","mexico",2
"conservation of natural resources","population dynamics",1
"grassland","herbivory",4
"grassland","mexico",1
"grassland","population dynamics",3
"herbivory","mexico",1
"herbivory","population dynamics",2
"mexico","population dynamics",2
"agriculture","biodiversity",7
"agriculture","cluster analysis",2
"agriculture","hydrogen-ion concentration",1
"agriculture","microbiota",1
"agriculture","nitrates/analysis",1
"agriculture","nitrogen/analysis",1
"agriculture","phylogeny",1
"agriculture","rain",3
"agriculture","seasons",3
"agriculture","soil microbiology",2
"agriculture","soil/chemistry",7
"agriculture","species specificity",3
"agriculture","time factors",1
"biodiversity","cluster analysis",1
"biodiversity","hydrogen-ion concentration",1
"biodiversity","microbiota",1
"biodiversity","nitrates/analysis",1
"biodiversity","nitrogen/analysis",2
"biodiversity","phylogeny",1
"biodiversity","rain",1
"biodiversity","seasons",4
"biodiversity","soil microbiology",1
"biodiversity","soil/chemistry",3
"biodiversity","species specificity",2
"biodiversity","time factors",3
"cluster analysis","hydrogen-ion concentration",1
"cluster analysis","microbiota",1
"cluster analysis","nitrates/analysis",1
"cluster analysis","nitrogen/analysis",1
"cluster analysis","phylogeny",1
"cluster analysis","rain",1
"cluster analysis","seasons",2
"cluster analysis","soil microbiology",1
"cluster analysis","soil/chemistry",1
"cluster analysis","species specificity",1
"cluster analysis","time factors",2
"hydrogen-ion concentration","microbiota",1
"hydrogen-ion concentration","nitrates/analysis",1
"hydrogen-ion concentration","nitrogen/analysis",1
"hydrogen-ion concentration","phylogeny",1
"hydrogen-ion concentration","rain",1
"hydrogen-ion concentration","seasons",1
"hydrogen-ion concentration","soil microbiology",1
"hydrogen-ion concentration","soil/chemistry",1
"hydrogen-ion concentration","species specificity",1
"hydrogen-ion concentration","time factors",2
"microbiota","nitrates/analysis",1
"microbiota","nitrogen/analysis",1
"microbiota","phylogeny",1
"microbiota","rain",1
"microbiota","seasons",1
"microbiota","soil microbiology",2
"microbiota","soil/chemistry",2
"microbiota","species specificity",1
"microbiota","time factors",1
"nitrates/analysis","nitrogen/analysis",1
"nitrates/analysis","phylogeny",1
"nitrates/analysis","rain",1
"nitrates/analysis","seasons",2
"nitrates/analysis","soil microbiology",1
"nitrates/analysis","soil/chemistry",1
"nitrates/analysis","species specificity",1
"nitrates/analysis","time factors",1
"nitrogen/analysis","phylogeny",1
"nitrogen/analysis","rain",1
"nitrogen/analysis","seasons",2
"nitrogen/analysis","soil microbiology",1
"nitrogen/analysis","soil/chemistry",3
"nitrogen/analysis","species specificity",1
"nitrogen/analysis","time factors",1
"phylogeny","rain",1
"phylogeny","seasons",1
"phylogeny","soil microbiology",1
"phylogeny","soil/chemistry",1
"phylogeny","species specificity",2
"phylogeny","time factors",1
"rain","seasons",3
"rain","soil microbiology",1
"rain","soil/chemistry",2
"rain","species specificity",1
"rain","time factors",1
"seasons","soil microbiology",1
"seasons","soil/chemistry",2
"seasons","species specificity",2
"seasons","time factors",5
"soil microbiology","soil/chemistry",5
"soil microbiology","species specificity",1
"soil microbiology","time factors",1
"soil/chemistry","species specificity",1
"soil/chemistry","time factors",1
"species specificity","time factors",1
"animals","bayes theorem",9
"animals","cattle/genetics",43
"animals","genomics/methods",13
"animals","polymorphism, single nucleotide",19
"bayes theorem","cattle/genetics",1
"bayes theorem","genomics/methods",1
"bayes theorem","polymorphism, single nucleotide",1
"cattle/genetics","genomics/methods",2
"cattle/genetics","polymorphism, single nucleotide",7
"genomics/methods","polymorphism, single nucleotide",2
"animals","ecosystem",49
"animals","satellite imagery",2
"ecosystem","mexico",4
"ecosystem","satellite imagery",1
"ecosystem","sheep",4
"mexico","satellite imagery",1
"mexico","sheep",1
"satellite imagery","sheep",1
"air pollution, indoor/analysis","animal feed/analysis",1
"air pollution, indoor/analysis","animal nutritional physiological phenomena",1
"air pollution, indoor/analysis","animals",6
"air pollution, indoor/analysis","chickens/growth & development",1
"air pollution, indoor/analysis","diet/veterinary",1
"air pollution, indoor/analysis","manure/analysis",1
"air pollution, indoor/analysis","nitrogen/analysis",1
"air pollution, indoor/analysis","zea mays",1
"animal feed/analysis","animal nutritional physiological phenomena",34
"animal feed/analysis","animals",95
"animal feed/analysis","chickens/growth & development",6
"animal feed/analysis","diet/veterinary",69
"animal feed/analysis","manure/analysis",1
"animal feed/analysis","nitrogen/analysis",1
"animal feed/analysis","zea mays",2
"animal nutritional physiological phenomena","animals",58
"animal nutritional physiological phenomena","chickens/growth & development",2
"animal nutritional physiological phenomena","diet/veterinary",32
"animal nutritional physiological phenomena","manure/analysis",2
"animal nutritional physiological phenomena","nitrogen/analysis",1
"animal nutritional physiological phenomena","zea mays",4
"animals","chickens/growth & development",11
"animals","diet/veterinary",101
"animals","manure/analysis",10
"animals","nitrogen/analysis",4
"animals","zea mays",9
"chickens/growth & development","diet/veterinary",6
"chickens/growth & development","manure/analysis",1
"chickens/growth & development","nitrogen/analysis",1
"chickens/growth & development","zea mays",1
"diet/veterinary","manure/analysis",2
"diet/veterinary","nitrogen/analysis",1
"diet/veterinary","zea mays",8
"manure/analysis","nitrogen/analysis",2
"manure/analysis","zea mays",1
"nitrogen/analysis","zea mays",1
"animals","biodiversity",18
"animals","cities",1
"animals","disease",3
"animals","europe",7
"animals","kenya",3
"animals","sustainable development",10
"biodiversity","cities",1
"biodiversity","conservation of natural resources",13
"biodiversity","disease",1
"biodiversity","ecosystem",18
"biodiversity","europe",1
"biodiversity","kenya",2
"biodiversity","sustainable development",2
"cities","conservation of natural resources",1
"cities","disease",1
"cities","ecosystem",1
"cities","europe",1
"cities","kenya",1
"cities","sustainable development",2
"conservation of natural resources","disease",1
"conservation of natural resources","ecosystem",22
"conservation of natural resources","europe",1
"conservation of natural resources","kenya",2
"conservation of natural resources","sustainable development",3
"disease","ecosystem",1
"disease","europe",1
"disease","kenya",1
"disease","sustainable development",1
"ecosystem","europe",3
"ecosystem","kenya",2
"ecosystem","sustainable development",4
"europe","kenya",1
"europe","sustainable development",2
"kenya","sustainable development",1
"animal nutritional physiological phenomena","goats/physiology",1
"animal nutritional physiological phenomena","lactation",5
"animal nutritional physiological phenomena","lactation/physiology",6
"animal nutritional physiological phenomena","milk proteins/analysis",1
"animal nutritional physiological phenomena","milk/chemistry",6
"animal nutritional physiological phenomena","resilience",1
"animals","goats/physiology",9
"animals","milk proteins/analysis",5
"goats/physiology","lactation",2
"goats/physiology","lactation/physiology",2
"goats/physiology","milk proteins/analysis",1
"goats/physiology","milk/chemistry",1
"goats/physiology","resilience",1
"lactation","lactation/physiology",1
"lactation","milk proteins/analysis",2
"lactation","milk/chemistry",14
"lactation/physiology","milk proteins/analysis",1
"lactation/physiology","resilience",1
"milk proteins/analysis","milk/chemistry",4
"milk proteins/analysis","resilience",1
"milk/chemistry","resilience",1
"animals","chickens/physiology",49
"animals","poultry",50
"animals","signal transduction",7
"chickens/physiology","poultry",8
"chickens/physiology","signal transduction",1
"poultry","signal transduction",1
"animal husbandry","animal welfare",8
"animal husbandry","animals",32
"animal husbandry","climate",1
"animal husbandry","ruminants",2
"animal husbandry","time factors",3
"animal welfare","animals",64
"animal welfare","climate",1
"animal welfare","ruminants",2
"animal welfare","time factors",1
"animals","climate",8
"climate","ruminants",1
"climate","time factors",1
"ruminants","time factors",1
"livestock","sensors",4
"amino acids/metabolism","animals",5
"amino acids/metabolism","cattle",1
"amino acids/metabolism","dairying",1
"amino acids/metabolism","gene expression regulation",1
"amino acids/metabolism","goats",1
"amino acids/metabolism","nutrigenomics",1
"amino acids/metabolism","signal transduction",1
"animals","gene expression regulation",6
"animals","goats",21
"animals","nutrigenomics",2
"cattle","gene expression regulation",4
"cattle","goats",10
"cattle","nutrigenomics",1
"cattle","signal transduction",2
"dairying","gene expression regulation",1
"dairying","goats",1
"dairying","nutrigenomics",1
"dairying","signal transduction",1
"gene expression regulation","goats",1
"gene expression regulation","nutrigenomics",1
"gene expression regulation","signal transduction",2
"goats","nutrigenomics",2
"goats","signal transduction",1
"nutrigenomics","signal transduction",1
"animal feed/analysis","animal nutritional physiological phenomena/drug effects",7
"animal feed/analysis","ovum/physiology",2
"animal feed/analysis","random allocation",19
"animal nutritional physiological phenomena/drug effects","animals",7
"animal nutritional physiological phenomena/drug effects","diet/veterinary",7
"animal nutritional physiological phenomena/drug effects","ovum/physiology",1
"animal nutritional physiological phenomena/drug effects","random allocation",7
"animals","ovum/physiology",7
"animals","random allocation",26
"diet/veterinary","ovum/physiology",2
"diet/veterinary","random allocation",18
"ovum/physiology","random allocation",2
"animal feed/analysis","breeding",2
"animal feed/analysis","diversity",1
"animal feed/analysis","genetics",3
"animal feed/analysis","goats",2
"animal feed/analysis","meat",1
"animal feed/analysis","nutrigenomics",1
"animals","breeding",42
"animals","diversity",1
"animals","genetics",6
"animals","meat",11
"breeding","diversity",1
"breeding","genetics",3
"breeding","goats",1
"breeding","meat",3
"breeding","nutrigenomics",1
"diversity","genetics",1
"diversity","goats",1
"diversity","meat",1
"diversity","nutrigenomics",1
"genetics","goats",1
"genetics","meat",1
"genetics","nutrigenomics",1
"goats","meat",2
"meat","nutrigenomics",1
"behavior","sheep",2
"animal feed/analysis","animal husbandry/methods",12
"animal feed/analysis","beef cattle",5
"animal feed/analysis","cattle/physiology",10
"animal feed/analysis","dry matter intake",1
"animal feed/analysis","eating",7
"animal feed/analysis","grazing",1
"animal feed/analysis","models, biological",3
"animal feed/analysis","temperature-humidity index",1
"animal feed/analysis","water intake",2
"animal husbandry/methods","animals",102
"animal husbandry/methods","beef cattle",1
"animal husbandry/methods","cattle/physiology",8
"animal husbandry/methods","diet/veterinary",8
"animal husbandry/methods","dry matter intake",1
"animal husbandry/methods","eating",2
"animal husbandry/methods","grazing",2
"animal husbandry/methods","models, biological",8
"animal husbandry/methods","temperature-humidity index",1
"animal husbandry/methods","water intake",2
"animals","beef cattle",10
"animals","cattle/physiology",68
"animals","dry matter intake",5
"animals","eating",26
"animals","grazing",7
"animals","models, biological",22
"animals","temperature-humidity index",2
"animals","water intake",4
"beef cattle","cattle/physiology",4
"beef cattle","diet/veterinary",3
"beef cattle","dry matter intake",2
"beef cattle","eating",2
"beef cattle","grazing",2
"beef cattle","models, biological",1
"beef cattle","temperature-humidity index",1
"beef cattle","water intake",3
"cattle/physiology","diet/veterinary",16
"cattle/physiology","dry matter intake",2
"cattle/physiology","eating",9
"cattle/physiology","grazing",4
"cattle/physiology","models, biological",3
"cattle/physiology","temperature-humidity index",1
"cattle/physiology","water intake",3
"diet/veterinary","dry matter intake",2
"diet/veterinary","eating",9
"diet/veterinary","grazing",2
"diet/veterinary","models, biological",3
"diet/veterinary","temperature-humidity index",1
"diet/veterinary","water intake",2
"dry matter intake","eating",2
"dry matter intake","grazing",2
"dry matter intake","models, biological",1
"dry matter intake","temperature-humidity index",1
"dry matter intake","water intake",2
"eating","grazing",1
"eating","models, biological",1
"eating","temperature-humidity index",1
"eating","water intake",2
"grazing","models, biological",2
"grazing","temperature-humidity index",1
"grazing","water intake",2
"models, biological","temperature-humidity index",1
"models, biological","water intake",1
"temperature-humidity index","water intake",1
"climate","climate resilience",3
"climate","ecosystem",3
"climate","seasons",3
"climate","soil/chemistry",1
"climate","temperature",4
"climate resilience","ecosystem",18
"climate resilience","seasons",3
"climate resilience","soil/chemistry",8
"climate resilience","temperature",7
"ecosystem","seasons",7
"ecosystem","soil/chemistry",5
"ecosystem","temperature",5
"seasons","temperature",7
"soil/chemistry","temperature",1
"animal feed/analysis","cattle",21
"animal feed/analysis","dietary supplements",7
"animal nutritional physiological phenomena","cattle",8
"animal nutritional physiological phenomena","dietary supplements",7
"animals","dietary supplements",18
"cattle","diet/veterinary",31
"cattle","dietary supplements",6
"diet/veterinary","dietary supplements",12
"animals","fatty acids, volatile/metabolism",8
"cattle","fatty acids, volatile/metabolism",4
"cattle diseases/diagnosis","diet/veterinary",2
"cattle diseases/diagnosis","fatty acids, volatile/metabolism",1
"cattle diseases/diagnosis","lactation",4
"cattle diseases/diagnosis","milk",4
"dairy cow","diet/veterinary",8
"dairy cow","fatty acids, volatile/metabolism",1
"diet/veterinary","fatty acids, volatile/metabolism",5
"diet/veterinary","lactation",20
"diet/veterinary","milk",10
"fatty acids, volatile/metabolism","lactation",2
"fatty acids, volatile/metabolism","milk",1
"adult","animal husbandry",1
"adult","animal welfare",4
"adult","animals",12
"adult","cattle",5
"adult","farmers/psychology",3
"adult","middle aged",11
"adult","surveys and questionnaires",6
"adult","united states",2
"animal husbandry","cattle",8
"animal husbandry","farmers/psychology",1
"animal husbandry","middle aged",1
"animal husbandry","surveys and questionnaires",1
"animal husbandry","united states",3
"animal welfare","cattle",16
"animal welfare","farmers/psychology",3
"animal welfare","middle aged",3
"animal welfare","surveys and questionnaires",4
"animal welfare","united states",4
"animals","farmers/psychology",6
"animals","middle aged",8
"animals","surveys and questionnaires",11
"animals","united states",13
"cattle","farmers/psychology",4
"cattle","middle aged",4
"cattle","surveys and questionnaires",7
"cattle","united states",6
"farmers/psychology","middle aged",3
"farmers/psychology","surveys and questionnaires",3
"farmers/psychology","united states",2
"middle aged","surveys and questionnaires",6
"middle aged","united states",2
"surveys and questionnaires","united states",2
"animal feed","body weight",3
"animal feed","cattle/growth & development",1
"animal feed","diet/veterinary",5
"animal feed","eating",6
"animal feed","feed efficiency",2
"animal feed","milk",4
"animal feed","pasture",2
"animal feed","residual feed intake",4
"animals","body weight",21
"animals","cattle/growth & development",6
"animals","feed efficiency",12
"animals","pasture",8
"animals","residual feed intake",8
"body weight","cattle/growth & development",2
"body weight","diet/veterinary",4
"body weight","eating",2
"body weight","feed efficiency",2
"body weight","lactation/physiology",3
"body weight","milk",3
"body weight","pasture",2
"body weight","reproduction/physiology",1
"body weight","residual feed intake",1
"cattle/growth & development","diet/veterinary",4
"cattle/growth & development","eating",1
"cattle/growth & development","feed efficiency",1
"cattle/growth & development","lactation/physiology",2
"cattle/growth & development","milk",1
"cattle/growth & development","pasture",1
"cattle/growth & development","reproduction/physiology",1
"cattle/growth & development","residual feed intake",1
"diet/veterinary","feed efficiency",6
"diet/veterinary","lactation/physiology",11
"diet/veterinary","pasture",3
"diet/veterinary","reproduction/physiology",2
"diet/veterinary","residual feed intake",3
"eating","feed efficiency",4
"eating","lactation/physiology",3
"eating","milk",4
"eating","pasture",3
"eating","reproduction/physiology",1
"eating","residual feed intake",5
"feed efficiency","lactation/physiology",2
"feed efficiency","milk",2
"feed efficiency","pasture",1
"feed efficiency","reproduction/physiology",1
"feed efficiency","residual feed intake",2
"lactation/physiology","milk",5
"lactation/physiology","pasture",1
"lactation/physiology","reproduction/physiology",2
"lactation/physiology","residual feed intake",1
"milk","pasture",2
"milk","reproduction/physiology",3
"milk","residual feed intake",2
"pasture","reproduction/physiology",1
"pasture","residual feed intake",1
"reproduction/physiology","residual feed intake",1
"animals","hydrogen-ion concentration",13
"animals","principal component analysis",5
"hydrogen-ion concentration","principal component analysis",1
"circular economy","covid-",2
"circular economy","supply chain",1
"covid-","supply chain",2
"agriculture","ai",5
"agriculture","animals",44
"agriculture","ecosystem",15
"agriculture","education",1
"agriculture","modeling",3
"agriculture","models, theoretical",5
"agriculture","plf",8
"agriculture","simulation",2
"ai","animals",28
"ai","ecosystem",1
"ai","education",2
"ai","modeling",4
"ai","models, theoretical",6
"ai","plf",6
"ai","simulation",4
"animals","education",4
"animals","modeling",8
"animals","models, theoretical",28
"animals","plf",30
"animals","simulation",6
"ecosystem","education",1
"ecosystem","modeling",1
"ecosystem","models, theoretical",8
"ecosystem","plf",1
"ecosystem","simulation",1
"education","modeling",1
"education","models, theoretical",1
"education","plf",1
"education","simulation",2
"modeling","models, theoretical",5
"modeling","plf",2
"modeling","simulation",4
"models, theoretical","plf",1
"models, theoretical","simulation",4
"plf","simulation",1
"animals","digestion",17
"animals","feeding behavior",16
"animals","methane/analysis",14
"animals","rumen/metabolism",23
"cattle/physiology","digestion",4
"cattle/physiology","feed efficiency",4
"cattle/physiology","feeding behavior",3
"cattle/physiology","lactation",13
"cattle/physiology","methane/analysis",4
"cattle/physiology","milk/chemistry",5
"cattle/physiology","rumen/metabolism",4
"diet/veterinary","digestion",8
"diet/veterinary","feeding behavior",10
"diet/veterinary","methane/analysis",2
"diet/veterinary","milk/chemistry",11
"diet/veterinary","rumen/metabolism",16
"digestion","feed efficiency",4
"digestion","feeding behavior",2
"digestion","lactation",8
"digestion","methane/analysis",1
"digestion","milk/chemistry",3
"digestion","rumen/metabolism",6
"feed efficiency","feeding behavior",2
"feed efficiency","lactation",4
"feed efficiency","methane/analysis",1
"feed efficiency","milk/chemistry",2
"feed efficiency","rumen/metabolism",2
"feeding behavior","lactation",5
"feeding behavior","methane/analysis",1
"feeding behavior","milk/chemistry",2
"feeding behavior","rumen/metabolism",3
"lactation","methane/analysis",2
"lactation","rumen/metabolism",9
"methane/analysis","milk/chemistry",3
"methane/analysis","rumen/metabolism",1
"milk/chemistry","rumen/metabolism",3
"cluster analysis","digital livestock transformation",1
"methane emissions","rumen fermentation",1
"animals","humidity",17
"ecosystem","humidity",1
"ecosystem","principal component analysis",1
"ecosystem","time factors",1
"humidity","principal component analysis",1
"humidity","temperature",12
"humidity","time factors",1
"principal component analysis","temperature",1
"principal component analysis","time factors",1
"temperature","time factors",3
"brazil","cities",1
"brazil","environmental monitoring",2
"brazil","water pollutants, chemical/analysis",1
"cities","environmental monitoring",1
"cities","water pollutants, chemical/analysis",1
"environmental monitoring","water pollutants, chemical/analysis",2
"animals","forecasting",5
"cattle","forecasting",1
"animals","eating/physiology",5
"animals","sheep/physiology",15
"dietary supplements","eating/physiology",1
"dietary supplements","ruminants",1
"dietary supplements","sheep",1
"dietary supplements","sheep/physiology",1
"eating/physiology","ruminants",1
"eating/physiology","sheep",1
"eating/physiology","sheep/physiology",1
"ruminants","sheep",7
"ruminants","sheep/physiology",1
"sheep","sheep/physiology",4
"agriculture","crops, agricultural/growth & development",4
"agriculture","ethiopia",7
"agriculture","geographic information systems",2
"crops, agricultural/growth & development","ethiopia",2
"crops, agricultural/growth & development","geographic information systems",2
"crops, agricultural/growth & development","soil/chemistry",3
"ethiopia","geographic information systems",2
"ethiopia","soil/chemistry",2
"geographic information systems","soil/chemistry",1
"animals","phylogeny",5
"beef cattle","cold stress",1
"ai","dairy farming",1
"cow","genomics",2
"plf","precision nutrition",1
"animals","dairying/instrumentation",6
"animals","estrus detection",4
"animals","multivariate analysis",6
"animals","sensitivity and specificity",11
"behavior, animal","cattle/physiology",5
"behavior, animal","dairying/instrumentation",1
"behavior, animal","estrus detection",1
"behavior, animal","milk/chemistry",1
"behavior, animal","multivariate analysis",1
"behavior, animal","reproduction",1
"behavior, animal","sensitivity and specificity",1
"cattle/physiology","dairying/instrumentation",2
"cattle/physiology","estrus detection",2
"cattle/physiology","multivariate analysis",1
"cattle/physiology","reproduction",6
"cattle/physiology","sensitivity and specificity",3
"dairying/instrumentation","estrus detection",1
"dairying/instrumentation","milk/chemistry",2
"dairying/instrumentation","multivariate analysis",1
"dairying/instrumentation","reproduction",1
"dairying/instrumentation","sensitivity and specificity",1
"estrus detection","milk/chemistry",2
"estrus detection","multivariate analysis",1
"estrus detection","reproduction",3
