Journal,Documents,h_index_dataset
Journal of Integrative Agriculture,4,4
African Journal of Agricultural Research,4,3
Pastoralism,3,3
Small Ruminant Research,3,3
Scientia Agricola,3,3
Australian veterinary journal,3,2
Acta Amazonica,3,3
Theriogenology,3,3
Veterinary parasitology,3,3
Acta Scientiarum. Animal Sciences,3,3
Animal biotechnology,3,2
International Journal of Electrical and Computer Engineering (IJECE),3,3
IT Professional,3,3
Journal of Ecological Engineering,3,3
World Rabbit Science,3,2
Animal science journal = Nihon chikusan Gakkaiho,3,1
IEEE Pervasive Computing,3,3
Journal of Mammalogy,3,3
Journal of ethnobiology and ethnomedicine,3,3
Land Degradation & Development,3,2
Nature Environment and Pollution Technology,3,0
Eastern-European Journal of Enterprise Technologies,3,2
Parasitology research,3,2
Biological reviews of the Cambridge Philosophical Society,3,3
Applied Geography,3,3
Annual Review of Environment and Resources,3,3
Tarım Bilimleri Dergisi,3,2
Research in Agricultural Engineering,3,3
Annual review of animal biosciences,3,2
Revista Brasileira de Ciência Avícola,3,3
Revista Científica de la Facultad de Ciencias Veterinarias,3,1
Computational intelligence and neuroscience,3,3
Chilean journal of agricultural research,3,1
Production Planning & Control,3,3
Archives of computational methods in engineering : state of the art reviews,3,3
Global Biogeochemical Cycles,3,3
Medical and veterinary entomology,3,3
Journal of veterinary science,3,1
Environmental geochemistry and health,3,2
Ciência Animal Brasileira,3,2
Evolutionary applications,3,3
Database : the journal of biological databases and curation,3,2
"Reproduction, Fertility and Development",2,1
Canadian Journal of Animal Science,2,1
Computational and structural biotechnology journal,2,2
Climate Research,2,2
Scientific Programming,2,2
Revista Veterinaria,2,1
Biological research,2,2
Australian Journal of Experimental Agriculture,2,2
Aquaculture Reports,2,2
Revista Peruana de Biología,2,2
Revista Electronica De Veterinaria,2,0
The Journal of Animal and Plant Sciences,2,2
Studies in Informatics and Control,2,1
Revista brasileira de parasitologia veterinaria = Brazilian journal of veterinary parasitology : Orgao Oficial do Colegio Brasileiro de Parasitologia Veterinaria,2,1
Revista Caatinga,2,2
Revista Ceres,2,2
"Reproduction, nutrition, development",2,2
Archives of Animal Husbandry & Dairy Science,2,1
Revista Brasileira de Geografia Física,2,0
Revista de biologia tropical,2,2
BMC ecology,2,2
Environmental research,2,2
Ecological Economics,2,2
"Computers, Environment and Urban Systems",2,2
"Parasite (Paris, France)",2,2
GigaScience,2,2
Journal of thermal biology,2,2
Integrated environmental assessment and management,2,2
Frontiers in zoology,2,1
Informatica,2,1
Mobile Information Systems,2,2
Kafkas Universitesi Veteriner Fakultesi Dergisi,2,1
International Journal of Advanced Computer Science and Applications,2,0
"Pastoralism: Research, Policy and Practice",2,2
Ciência e Agrotecnologia,2,2
Brazilian journal of veterinary medicine,2,0
Development Engineering,2,2
Computers & industrial engineering,2,2
Journal of Applied Animal Research,2,2
Journal of chemical information and modeling,2,1
Journal of Advanced Zoology,2,1
Wetlands,2,2
International Journal of Environmental Science and Technology,2,2
International Journal of Intelligent Systems and Applications,2,2
International Journal of Interactive Mobile Technologies (iJIM),2,1
International Journal of Pervasive Computing and Communications,2,2
Journal of Central European Agriculture,2,2
Journal of Animal and Feed Sciences,2,2
TURKISH JOURNAL OF VETERINARY AND ANIMAL SCIENCES,2,2
"Animal welfare (South Mimms, England)",2,2
Animal reproduction science,2,2
The Onderstepoort journal of veterinary research,2,2
The Journal of veterinary medical science,2,1
American Journal of Agricultural and Biological Sciences,2,2
Ambiente e Agua - An Interdisciplinary Journal of Applied Science,2,1
American Journal of Animal and Veterinary Sciences,2,2
Acta veterinaria Scandinavica,2,2
Acta Agraria Debreceniensis,1,1
Acta Biológica Colombiana,1,1
Acta Scientiae Veterinariae,1,1
Acta Veterinaria Brasilica,1,1
Acta Veterinaria Brno,1,1
Agribusiness,1,0
Agrociencia,1,0
"Air, Soil and Water Research",1,1
Animal Feed Science and Technology,1,1
Animal Research,1,1
Animal Review,1,1
Animal Science Papers and Reports,1,1
Animal Welfare,1,1
The journal of poultry science,1,1
Therya,1,1
Translational animal science,1,1
"tripleC: Communication, Capitalism & Critique. Open Access Journal for a Global Sustainable Information Society",1,0
Turkish journal of biology = Turk biyoloji dergisi,1,1
TURKISH JOURNAL OF ELECTRICAL ENGINEERING & COMPUTER SCIENCES,1,1
Veterinary anaesthesia and analgesia,1,1
Veterinary immunology and immunopathology,1,1
Veterinary medicine international,1,1
Veterinary microbiology,1,1
Veterinary Record Case Reports,1,1
"Wetlands (Wilmington, N.C.)",1,1
Wireless personal communications,1,1
WIREs Energy and Environment,1,1
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING AND TECHNOLOGY,1,0
International Journal of Energy and Environmental Science,1,1
International journal of health geographics,1,1
International Journal of Intelligent Computing and Cybernetics,1,1
International Journal of Poultry Science,1,1
International journal of primatology,1,1
International Journal of Smart Home,1,0
International Journal of Sustainable Agricultural Management and Informatics,1,1
"International Journal on Advanced Science, Engineering and Information Technology",1,0
International Transactions in Operational Research,1,1
ISPRS Journal of Photogrammetry and Remote Sensing,1,1
Japan Agricultural Research Quarterly JARQ,1,0
Journal of Advances in Information Technology,1,0
Journal of biomedical semantics,1,1
Journal of Buffalo Science,1,0
Journal of Computer Science and Technology,1,1
Journal of Control Science and Engineering,1,1
Journal of Dairy Research,1,1
Journal of Energy in Southern Africa,1,1
Journal of Environmental Informatics,1,1
Journal of Industrial Ecology,1,1
Journal of Internet Services and Applications,1,1
Journal of King Saud University - Computer and Information Sciences,1,1
Journal of medical entomology,1,1
Journal of Physics: Conference Series,1,1
Journal of Range Management,1,1
Journal of System and Management Sciences,1,0
Journal of the South African Veterinary Association,1,1
Journal of Theoretical and Applied Electronic Commerce Research,1,1
Journal of Transport Geography,1,1
Journal of veterinary internal medicine,1,1
EXCLI journal,1,1
Far East Journal of Electronics and Communications,1,0
Gene regulation and systems biology,1,1
"Geomatics, Natural Hazards and Risk",1,1
GI_Forum,1,1
Global NEST Journal,1,1
Iapa Proceedings Conference,1,0
Ibis,1,1
IEEE Robotics & Automation Magazine,1,1
IEEE Transactions on Industrial Informatics,1,0
IEEE Transactions on Services Computing,1,1
IET Communications,1,1
Information and Software Technology,1,1
Information Sciences,1,1
Integrative zoology,1,1
"Interdisciplinary Journal of Information, Knowledge, and Management",1,0
International Agrophysics,1,1
"International Journal of Business Management, Entrepreneurship and Innovation",1,0
International Journal of Ecology and Environmental Sciences,1,1
International journal of educational technology in higher education,1,1
Journal of veterinary pharmacology and therapeutics,1,1
Journal of veterinary research,1,1
Journal of Veterinary Science & Technology,1,1
Journal of Zoology,1,1
Korean Journal of Veterinary Research,1,0
Malaysian Journal of Computer Science,1,0
Mathematical and Computer Modelling,1,1
"Modeling, Identification and Control: A Norwegian Research Bulletin",1,1
Natural Resources Forum,1,1
New Zealand Journal of Agricultural Research,1,0
OnLine Journal of Biological Sciences,1,1
Operations Research,1,1
Organic Agriculture,1,1
Outlook on Agriculture,1,1
Current biology : CB,1,1
Current World Environment Journal,1,1
Cybernetics and Information Technologies,1,1
Design Studies,1,1
"Die Bodenkultur: Journal of Land Management, Food and Environment",1,1
Domestic animal endocrinology,1,1
Ecological economics : the journal of the International Society for Ecological Economics,1,1
Economy of Region,1,0
Egyptian Informatics Journal,1,1
Environmental Protection and Natural Resources,1,1
Environmental research letters : ERL [Web site],1,1
Environmental Technology & Innovation,1,1
EPJ Data Science,1,1
Biometrics & Biostatistics International Journal,1,0
Bird Conservation International,1,1
BMC systems biology,1,1
Bragantia,1,1
Brazilian Journal of Animal and Environmental Research,1,0
Brazilian Journal of Poultry Science,1,1
Brazilian Journal of Veterinary Research and Animal Science,1,1
British poultry science,1,0
BULGARIAN JOURNAL OF VETERINARY MEDICINE,1,1
Bulletin de l'Académie Vétérinaire de France,1,0
Cahiers Agricultures,1,1
Canadian Food Studies / La Revue canadienne des études sur l'alimentation,1,0
Climate Policy,1,1
Cogent Engineering,1,1
Communications in Computer and Information Science,1,1
Communications of the ACM,1,1
Computers & Chemical Engineering,1,1
Pesquisa Veterinária Brasileira,1,1
PLoS biology,1,1
RAIRO - Operations Research,1,1
Reproduction in Domestic Animals,1,1
Reproduction in domestic animals = Zuchthygiene,1,1
"Reproduction, fertility, and development",1,1
Research in Learning Technology,1,1
Research in veterinary science,1,1
"Research Journal of Applied Sciences, Engineering and Technology",1,1
Revista Brasileira de Ciências Agrárias - Brazilian Journal of Agricultural Sciences,1,1
Revista Brasileira de Saúde e Produção Animal,1,0
Revista Colombiana de Ciencias Pecuarias,1,0
Ankara Üniversitesi Veteriner Fakültesi Dergisi,1,1
Annals of Arid Zone,1,0
Annual Research & Review in Biology,1,1
Anuário do Instituto de Geociências - UFRJ,1,0
"Applied geography (Sevenoaks, England)",1,1
Arabian Journal of Geosciences,1,1
Archives of Environmental Protection,1,1
Archives of Razi Institute,1,0
Asia-pacific Journal of Convergent Research Interchange,1,1
Asian Journal of Animal Sciences,1,1
Atmospheric Environment,1,1
Avian Conservation and Ecology,1,1
Avian diseases,1,1
Avian pathology : journal of the W.V.P.A,1,1
Baltic Journal of Economic Studies,1,1
Bangladesh Journal of Public Administration,1,0
Bio-based and Applied Economics,1,1
Biodiversitas Journal of Biological Diversity,1,1
Bioinformatics and biology insights,1,1
Revista em Agronegócio e Meio Ambiente,1,0
Revue scientifique et technique (International Office of Epizootics),1,1
RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação,1,1
River Research and Applications,1,1
Scalable Computing: Practice and Experience,1,1
"Scholars Journal of Economics, Business and Management",1,0
Science China. Life sciences,1,1
Science Journal of Business and Management,1,1
Scientometrics,1,1
Siberian Journal of Life Sciences and Agriculture,1,0
SoftwareX,1,1
South African Journal of Science,1,1
The Condor,1,1
The Journal of Agricultural Education and Extension,1,1
The Journal of animal ecology,1,1
World's Poultry Science Journal,1,1
Yüzüncü Yıl Üniversitesi Tarım Bilimleri Dergisi,1,1
Zoological studies,1,1
Zoonoses and public health,1,0
