keyword,occurrence,total_link_strength,cluster
"environmental sustainability",11,33,6
"escherichia coli",5,20,3
"estrus detection",8,48,3
"ethiopia",12,76,2
"europe",10,58,1
"european union",5,27,1
"extensive farming",5,17,1
"farm management",7,16,1
"farmers",21,136,1
"farmers/psychology",6,39,3
"farms",55,403,1
"farms/economics",5,33,3
"fat",5,28,4
"fatty acid",6,34,4
"fatty acid profile",10,29,4
"fatty acids",8,35,4
"fatty acids, volatile/metabolism",8,69,4
"fatty acids/analysis",5,46,4
"feces/microbiology",7,40,4
"feed",6,24,1
"feed additives",5,15,6
"feed efficiency",21,137,4
"feed intake",10,34,4
"feeding behavior",18,152,4
"feedlot",5,30,4
"fermentation",21,184,4
"fertility",18,116,3
"fertilization",5,41,3
"fertilizers",11,60,2
"food",6,27,2
"food handling/methods",7,29,3
"food quality",6,29,1
"food safety",9,29,6
"food security",25,75,2
"food supply",18,113,2
"forage",5,47,4
"forecasting",8,56,2
"forests",22,124,2
"gastrointestinal microbiome",9,59,4
"gastrointestinal microbiome/drug effects",6,29,4
"gene editing",5,8,5
"gene expression",10,35,6
"gene expression profiling",6,39,5
"gene expression regulation",6,33,3
"gene regulatory networks",5,27,5
"genetic diversity",6,16,5
"genetic improvement",5,34,5
"genetic parameters",5,22,5
"genetic selection",6,32,5
"genetic variation",12,93,5
"genetics",9,57,5
"genome",10,68,5
"genome-wide association study",12,85,5
"genomic selection",9,40,5
"genomics",24,124,5
"genomics/methods",13,80,5
"genotype",14,101,5
"geographic information systems",13,61,2
"geography",5,39,2
"germany",9,52,3
"gis",9,13,2
"global warming",9,34,2
"goat",13,40,1
"goats",33,153,1
"goats/physiology",9,63,4
"grassland",24,143,2
"grazing",15,71,3
"grazing management",5,8,3
"greenhouse effect",7,54,2
"greenhouse gas",15,86,4
"greenhouse gas emissions",5,30,2
"greenhouse gases",22,146,2
"greenhouse gases/analysis",12,85,2
"groundwater",5,23,2
"growth",7,45,4
"growth performance",10,33,4
"gut health",6,20,4
"gut microbiota",8,20,6
"gwas",5,11,5
"health",33,187,6
"heart rate",5,30,6
"heat stress",65,237,6
"heat tolerance",6,17,6
"heat-shock response",8,70,6
"herbivory",14,102,2
"heritability",11,39,5
"horses",5,35,1
"hot temperature",18,135,6
"housing",7,30,6
"housing, animal",29,226,6
"housing, animal/standards",6,42,6
"humidity",17,132,6
"hydrogen-ion concentration",15,102,3
"image processing, computer-assisted/methods",6,36,1
"immune response",5,18,4
"immunity",13,57,5
"in vitro fermentation",5,3,4
"india",5,33,2
"inflammation",10,40,3
"influenza in birds/epidemiology",11,60,1
"infrared thermography",13,41,6
"innate immunity",6,19,3
"innovation",10,29,1
"insemination, artificial/veterinary",8,49,3
"internet of things",15,29,1
"iot",6,18,1
"italy",7,39,1
"kenya",6,36,2
"lactation",77,660,3
"lactation/genetics",9,75,5
"lactation/physiology",27,223,3
"lakes",5,20,2
"lameness",12,77,3
"lameness, animal/diagnosis",9,73,3
"laying hen",6,35,6
"laying hens",9,43,6
"linear models",5,33,1
"lipid metabolism",9,40,5
"liver",6,42,5
"liver/metabolism",9,70,5
"livestock",101,577,1
"livestock production",16,50,1
"livestock/genetics",15,91,5
"livestock/physiology",10,75,1
"logistic models",7,57,3
"machine learning",113,503,1
"mammals",5,29,3
"mammary glands, animal/physiology",5,40,3
"management",12,64,3
"manure",13,83,6
"manure/analysis",10,74,6
"mastitis",18,79,3
"mastitis, bovine/diagnosis",5,34,3
"mastitis, bovine/microbiology",5,29,3
"meat",16,99,5
"meat quality",27,64,4
"meat/analysis",21,123,4
"metabolism",10,37,5
"metabolites",5,19,4
"metabolome",9,61,5
"metabolomics",12,57,5
"methane",53,357,4
"methane emission",7,35,3
"methane emissions",6,20,2
"methane/analysis",15,112,2
"methane/biosynthesis",10,89,4
"methane/metabolism",27,253,4
"metritis",5,19,3
"mexico",8,48,2
"mice",6,13,3
"microalgae",13,50,4
"microbiome",14,53,4
"microbiota",20,98,4
"microclimate",8,26,6
"middle aged",11,74,3
"milk",60,428,3
"milk composition",6,20,4
"milk production",20,96,3
"milk proteins/analysis",5,45,5
"milk quality",10,19,4
"milk yield",16,59,3
"milk/chemistry",41,316,3
"milk/metabolism",39,363,3
"milk/microbiology",9,52,3
"mitigation",9,43,2
"modeling",16,76,1
"modelling",10,32,2
"models, biological",25,160,2
"models, statistical",8,45,2
"models, theoretical",40,227,2
"monitoring",11,46,1
"monitoring, physiologic/instrumentation",5,43,3
"multiomics",6,23,5
"multivariate analysis",9,52,2
"muscle, skeletal/metabolism",6,32,5
"ndvi",8,17,2
"neural networks, computer",13,68,1
"nitrate",5,15,2
"nitrates/analysis",5,35,2
"nitrogen",11,52,4
"nitrogen/analysis",6,48,2
"nitrogen/metabolism",11,95,4
"nutrient management",6,37,2
"nutrigenomics",6,20,1
"nutrition",17,76,4
"nutritional status",7,68,4
"nutritive value",9,45,4
"object detection",9,39,6
"one health",12,21,1
"organic",7,36,6
"organic agriculture",5,58,4
"ovum",7,40,6
"ovum/physiology",7,45,6
"oxidation-reduction",6,36,4
"oxidative stress",10,50,4
"pakistan",5,21,2
"palm oil",5,7,2
"parity",8,56,3
"particulate matter/analysis",5,45,6
"parturition",6,50,3
"pasture",17,105,4
"pathogens",6,24,2
"perception",5,39,3
"performance",8,45,4
"phenotype",38,313,5
"phosphorus",5,19,4
"phylogeny",6,28,2
"physiology",6,18,6
"pig",9,35,6
"pigs",9,30,1
"plant breeding",7,52,4
"plf",105,374,1
"poaceae",9,74,2
"policy",6,28,2
"polymorphism, single nucleotide",19,112,5
"polyphenols",12,56,4
"population density",7,41,2
"population dynamics",11,59,2
"postpartum period",5,42,3
"poultry",77,332,6
"poultry diseases/diagnosis",5,25,6
"poultry diseases/prevention & control",5,33,6
"poultry diseases/virology",7,28,6
"poultry production",9,21,6
"poultry/physiology",5,36,6
"precision agriculture",19,43,2
"precision dairy farming",5,18,3
"precision farming",8,15,1
"precision nutrition",5,23,4
"prediction",11,57,3
"prediction accuracy",5,39,5
"pregnancy",43,332,3
"prevalence",6,35,3
"principal component analysis",9,30,3
"production",10,55,6
"production performance",5,16,6
"productivity",7,41,3
"proteomics",11,66,5
"public health",8,31,1
"quantitative trait loci",8,76,5
"quantitative trait, heritable",8,71,5
"rain",7,54,2
"random allocation",26,215,4
"random forest",19,85,1
"remote sensing",25,68,2
"remote sensing technology",9,52,2
"renewable energy",16,23,2
"reproducibility of results",11,70,5
"reproduction",24,160,3
"reproduction/physiology",10,81,3
"residual feed intake",8,76,4
"resilience",21,138,3
"retrospective studies",8,63,3
"review",8,39,3
"risk assessment",7,36,2
"risk factors",15,98,1
"rivers",6,41,2
"rna-seq",5,12,5
"robustness",5,25,5
"rumen",13,106,4
"rumen fermentation",11,44,4
"rumen/chemistry",5,47,3
"rumen/metabolism",23,224,4
"rumen/microbiology",5,38,4
"rumen/physiology",6,45,3
"ruminant",13,109,4
"ruminants",33,165,1
"ruminants/physiology",10,93,1
"rumination",11,43,3
"rural population",5,15,3
"salmonella",6,25,6
"satellite imagery",11,58,2
"seasons",40,282,2
"selection, genetic",11,75,5
"selective breeding",8,33,5
"semen analysis/veterinary",5,35,6
"sensitivity and specificity",11,69,3
"sensor",12,79,1
"sensors",23,94,1
"sheep",80,354,1
"sheep/genetics",11,40,5
"sheep/physiology",15,101,4
"signal transduction",10,39,5
"signal transduction/drug effects",6,33,4
"silage/analysis",9,97,4
"simulation",11,62,2
"small ruminants",10,17,1
"smart farm",6,10,1
"snp",6,17,5
"socioeconomic factors",6,32,2
"software",5,20,1
"soil",12,55,2
"soil microbiology",8,42,2
"soil/chemistry",25,132,2
"solar energy",5,10,2
"somatic cell count",6,24,3
"south africa",13,63,2
"spain",7,53,6
"spatial analysis",7,37,2
"spatio-temporal analysis",10,51,2
"species specificity",8,48,2
"spectroscopy, fourier transform infrared/veterinary",5,45,3
"sperm",7,17,6
"stakeholder",5,15,2
"stress",11,42,6
"stress, physiological",9,46,6
"supply chain",5,18,1
"support vector machine",7,28,1
"surveillance",9,33,1
"survey",7,28,1
"surveys and questionnaires",16,99,3
"sustainability",88,393,2
"sustainable agriculture",12,33,2
"sustainable development",42,142,2
"sustainable development goals",6,20,2
"swine",36,178,1
"swine/genetics",8,59,5
"swine/physiology",11,68,6
"synthetic biology",5,9,5
"taste",6,29,4
"technologies",5,11,1
"technology",25,143,1
"temperament",5,24,6
"temperature",43,273,6
"temperature humidity index",5,15,4
"temperature-humidity index",6,29,3
"thermal stress",6,14,6
"thi",5,17,6
"time factors",31,210,3
"transcriptome",18,119,5
"transcriptomics",11,45,5
"transition period",5,40,3
"transportation",7,28,6
"trees",5,25,2
"tropical climate",11,73,2
"typology",5,2,6
"udder health",5,24,3
"uncertainty",5,13,2
"united kingdom",6,54,3
"united states",18,117,2
"unmanned aerial devices",5,29,1
"vaccination",6,23,1
"vaccine",5,14,1
"ventilation",8,34,6
"video recording",7,45,6
"viral vaccines/immunology",5,19,1
"volatile organic compounds/analysis",5,37,6
"wastewater",5,12,2
"water",13,68,2
"water intake",5,34,4
"water pollutants, chemical/analysis",6,29,2
"water quality",10,48,2
"water supply",5,16,2
"weaning",11,70,4
"welfare",48,230,6
"wetlands",6,29,2
"wood",5,21,2
"xgboost",6,21,6
"yolov",9,9,1
"young adult",5,39,3
"zea mays",9,100,4
